id,title,rank,mean,num_list_users,main_picture.medium,main_picture.large
44191,Tropical-Rouge! Precure,2426,7.39,14212,https://cdn.myanimelist.net/images/anime/1184/110907.jpg,https://cdn.myanimelist.net/images/anime/1184/110907l.jpg
45665,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,10416,5.91,26576,https://cdn.myanimelist.net/images/anime/1476/114026.jpg,https://cdn.myanimelist.net/images/anime/1476/114026l.jpg
47639,Blue Reflection Ray,10636,5.86,31610,https://cdn.myanimelist.net/images/anime/1634/114551.jpg,https://cdn.myanimelist.net/images/anime/1634/114551l.jpg
48981,Mahou Shoujo Magical Destroyers,8521,6.26,79566,https://cdn.myanimelist.net/images/anime/1203/134079.jpg,https://cdn.myanimelist.net/images/anime/1203/134079l.jpg
49291,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Final Season - Asaki Yume no Akatsuki,5355,6.8,32992,https://cdn.myanimelist.net/images/anime/1944/122298.jpg,https://cdn.myanimelist.net/images/anime/1944/122298l.jpg
53097,Tokyo Mew Mew New ♡ 2nd Season,5834,6.71,15941,https://cdn.myanimelist.net/images/anime/1274/133807.webp,https://cdn.myanimelist.net/images/anime/1274/133807l.webp
53716,Hirogaru Sky! Precure,1545,7.61,11503,https://cdn.myanimelist.net/images/anime/1762/135268.jpg,https://cdn.myanimelist.net/images/anime/1762/135268l.jpg
53723,Acro Trip,5709,6.73,21030,https://cdn.myanimelist.net/images/anime/1397/145153.jpg,https://cdn.myanimelist.net/images/anime/1397/145153l.jpg
54722,Mahou Shoujo ni Akogarete,1471,7.63,176124,https://cdn.myanimelist.net/images/anime/1525/139345.jpg,https://cdn.myanimelist.net/images/anime/1525/139345l.jpg
57360,Kabushikigaisha Magi-Lumière,4545,6.96,29228,https://cdn.myanimelist.net/images/anime/1926/145102.jpg,https://cdn.myanimelist.net/images/anime/1926/145102l.jpg
